your         + s -> ViNew plain, shouldTone=False isValid=False endsVowel=False
your         + f -> ViNew plain, shouldTone=False isValid=False endsVowel=False
your         + r -> ViNew plain, shouldTone=False isValid=False endsVowel=False
your         + x -> ViNew plain, shouldTone=False isValid=False endsVowel=False
your         + j -> ViNew plain, shouldTone=False isValid=False endsVowel=False
yeah         + s -> ViNew plain, shouldTone=False isValid=False endsVowel=False
yeah         + f -> ViNew plain, shouldTone=False isValid=False endsVowel=False
yeah         + r -> ViNew plain, shouldTone=False isValid=False endsVowel=False
yeah         + x -> ViNew plain, shouldTone=False isValid=False endsVowel=False
yeah         + j -> ViNew plain, shouldTone=False isValid=False endsVowel=False
good         + s -> ViNew plain, shouldTone=False isValid=False endsVowel=False
good         + f -> ViNew plain, shouldTone=False isValid=False endsVowel=False
good         + r -> ViNew plain, shouldTone=False isValid=False endsVowel=False
good         + x -> ViNew plain, shouldTone=False isValid=False endsVowel=False
good         + j -> ViNew plain, shouldTone=False isValid=False endsVowel=False
there's      + s -> ViNew plain, shouldTone=False isValid=False endsVowel=False
there's      + f -> ViNew plain, shouldTone=False isValid=False endsVowel=False
there's      + r -> ViNew plain, shouldTone=False isValid=False endsVowel=False
there's      + x -> ViNew plain, shouldTone=False isValid=False endsVowel=False
there's      + j -> ViNew plain, shouldTone=False isValid=False endsVowel=False
yes          + s -> ViNew plain, shouldTone=False isValid=False endsVowel=False
yes          + f -> ViNew plain, shouldTone=False isValid=False endsVowel=False
yes          + r -> ViNew plain, shouldTone=False isValid=False endsVowel=False
yes          + x -> ViNew plain, shouldTone=False isValid=False endsVowel=False
yes          + j -> ViNew plain, shouldTone=False isValid=False endsVowel=False
look         + s -> ViNew plain, shouldTone=False isValid=False endsVowel=False
look         + f -> ViNew plain, shouldTone=False isValid=False endsVowel=False
look         + r -> ViNew plain, shouldTone=False isValid=False endsVowel=False
look         + x -> ViNew plain, shouldTone=False isValid=False endsVowel=False
look         + j -> ViNew plain, shouldTone=False isValid=False endsVowel=False
you'll       + s -> ViNew plain, shouldTone=False isValid=False endsVowel=False
you'll       + f -> ViNew plain, shouldTone=False isValid=False endsVowel=False
you'll       + r -> ViNew plain, shouldTone=False isValid=False endsVowel=False
you'll       + x -> ViNew plain, shouldTone=False isValid=False endsVowel=False
you'll       + j -> ViNew plain, shouldTone=False isValid=False endsVowel=False
would        + s -> ViNew plain, shouldTone=False isValid=False endsVowel=False
would        + f -> ViNew plain, shouldTone=False isValid=False endsVowel=False
would        + r -> ViNew plain, shouldTone=False isValid=False endsVowel=False
would        + x -> ViNew plain, shouldTone=False isValid=False endsVowel=False
would        + j -> ViNew plain, shouldTone=False isValid=False endsVowel=False
wouldn't     + s -> ViNew plain, shouldTone=False isValid=False endsVowel=False
wouldn't     + f -> ViNew plain, shouldTone=False isValid=False endsVowel=False
wouldn't     + r -> ViNew plain, shouldTone=False isValid=False endsVowel=False
wouldn't     + x -> ViNew plain, shouldTone=False isValid=False endsVowel=False
wouldn't     + j -> ViNew plain, shouldTone=False isValid=False endsVowel=False
could        + s -> ViNew plain, shouldTone=False isValid=False endsVowel=False
could        + f -> ViNew plain, shouldTone=False isValid=False endsVowel=False
